127.0.0.1 - - [16/Apr/2021:13:58:09 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:11 +0700] "GET /spring-mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:11 +0700] "GET /spring-mvc/trang-chu HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:11 +0700] "GET /spring-mvc/template/web/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:12 +0700] "GET /spring-mvc/template/web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:12 +0700] "GET /spring-mvc/template/web/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:12 +0700] "GET /spring-mvc/template/web/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:12 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/manage/home HTTP/1.1" 200 7978
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/template/admin/js/scripts.js HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/template/admin/assets/demo/chart-area-demo.js HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/template/admin/assets/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/template/admin/assets/demo/chart-bar-demo.js HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:27 +0700] "GET /spring-mvc/template/admin/css/styles.css HTTP/1.1" 200 187644
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:39 +0700] "GET /spring-mvc/dang-nhap HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Apr/2021:13:58:39 +0700] "GET /spring-mvc/template/login/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:14:00:01 +0700] "POST /spring-mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:14:00:01 +0700] "GET /spring-mvc/dang-nhap?incorrectAccount HTTP/1.1" 200 1358
